uid,role, description,controller,function,table,uacl,oacl,hidden,system,protected
AUTHENTICATED,Authenticated,,default,,,READ,ALL,,,
AUTHENTICATED,Authenticated,,doc,,,READ,ALL,,,
AUTHENTICATED,Authenticated,,gis,,,READ,ALL,,,
AUTHENTICATED,Authenticated,,org,,,READ,ALL,,,
AUTHENTICATED,Authenticated,,cr,,,READ,ALL,,,
AUTHENTICATED,Authenticated,,hrm,,,READ,ALL,,,
AUTHENTICATED,Authenticated,,hms,,,READ,ALL,,,
AUTHENTICATED,Authenticated,,pr,,,READ,ALL,,,
ANONYMOUS,Anonymous,,default,,,READ,READ,,,
ANONYMOUS,Anonymous,,doc,,,READ,READ,,,
ANONYMOUS,Anonymous,,gis,,,READ,READ,,,
ANONYMOUS,Anonymous,,org,,,READ,READ,,,
ANONYMOUS,Anonymous,,cr,,,READ,READ,,,
ANONYMOUS,Anonymous,,hrm,,,READ,READ,,,
ANONYMOUS,Anonymous,,hms,,,READ,READ,,,
ANONYMOUS,Anonymous,,pr,,,READ,READ,,,
